Transfer,Offspring,OffspringFunction,OffspringFunctionSe,Parent,ParentFunction,ParentFunctionSe,Origin
2,B02,0.51084954760189,0.0242337191935648,E03,0.491087937282745,0.00823572866330898,B01
2,B03,0.488429818240051,0.0032028184802626,E03,0.491087937282745,0.00823572866330898,B01
2,B04,0.0160140924013132,0.00160140924013132,E03,0.491087937282745,0.00823572866330898,B01
2,B05,0.0416366402434142,0.00320281848026263,H01,0.0680423045632719,0.00591672213593669,
2,B06,0.0352310032828889,0.00160140924013132,H01,0.0680423045632719,0.00591672213593669,
2,B07,0.0384338217631516,0.00277372216761771,H01,0.0680423045632719,0.00591672213593669,
2,B08,0.0400352310032829,0.00160140924013131,H01,0.0680423045632719,0.00591672213593669,
2,B09,0.0208183201217071,0.00160140924013132,C09,0.0325419717476518,0.00147918053398417,
2,B10,0.0224197293618384,0.00320281848026263,C09,0.0325419717476518,0.00147918053398417,
2,B11,0.0208183201217071,0.00160140924013132,C09,0.0325419717476518,0.00147918053398417,
2,B12,0.0176155016414445,0.00320281848026263,C09,0.0325419717476518,0.00147918053398417,
2,C01,0.469212907358475,0.0194819842430882,D03,0.473337770874935,0.00823572866330897,D01
2,C02,0.470814316598607,0.0241807492522083,D03,0.473337770874935,0.00823572866330897,D01
2,C03,0.422772039394667,0.0127107917898851,D03,0.473337770874935,0.00823572866330897,D01
2,C04,0.4499959964769,0.0125074059987295,D03,0.473337770874935,0.00823572866330897,D01
2,C05,0.0416366402434142,0.00160140924013131,H04,0.0532504992234302,0.00256201583842745,
2,C06,0.0416366402434142,0.00160140924013131,H04,0.0532504992234302,0.00256201583842745,
2,C07,0.0448394587236768,0.00160140924013132,H04,0.0532504992234302,0.00256201583842745,
2,C08,0.0432380494835455,0.00277372216761771,H04,0.0532504992234302,0.00256201583842745,
2,C09,0.0224197293618384,0.00160140924013132,C12,0.0325419717476518,0.00147918053398417,
2,C10,0.0192169108815758,0,C12,0.0325419717476518,0.00147918053398417,
2,C11,0.0208183201217071,0.00160140924013132,C12,0.0325419717476518,0.00147918053398417,
2,C12,0.0192169108815758,0,C12,0.0325419717476518,0.00147918053398417,
2,D01,0.448394587236768,0.0136824465454681,E02,0.448191701797204,0.0209710034446532,B01
2,D02,0.445191768756506,0.013108099562611,E02,0.448191701797204,0.0209710034446532,B01
2,D03,0.437184722555849,0.00277372216761772,E02,0.448191701797204,0.0209710034446532,B01
2,D04,0.419569220914405,0.00423693059662839,E02,0.448191701797204,0.0209710034446532,B01
2,D05,0.0208183201217071,0.00160140924013132,H05,0.0502921381554619,0.0141104829734035,
2,D06,0.0176155016414445,0.00320281848026263,H05,0.0502921381554619,0.0141104829734035,
2,D07,0.0176155016414445,0.00160140924013132,H05,0.0502921381554619,0.0141104829734035,
2,D08,0.0176155016414445,0.00160140924013132,H05,0.0502921381554619,0.0141104829734035,
2,E01,0.496436864440708,0.0188803364921957,E01,0.427483174321426,0.0174392812995364,B01
2,E02,0.483625590519657,0.0157720518885357,E01,0.427483174321426,0.0174392812995364,B01
2,E03,0.467611498118344,0.0152764705167258,E01,0.427483174321426,0.0174392812995364,B01
2,E04,0.483625590519657,0.00974099212154411,E01,0.427483174321426,0.0174392812995364,B01
2,E05,0.0768676435263032,0.0312582613434913,H02,0.0473337770874935,0.00147918053398417,
2,E06,0.0432380494835455,0.00277372216761771,H02,0.0473337770874935,0.00147918053398417,
2,E07,0.0176155016414445,0.00320281848026263,H02,0.0473337770874935,0.00147918053398417,
2,E08,0.0448394587236768,0.00160140924013132,H02,0.0473337770874935,0.00147918053398417,
2,E09,0.0256225478421011,0.00160140924013131,C10,0.0310627912136676,0,
2,E10,0.0240211386019697,0.00277372216761771,C10,0.0310627912136676,0,
2,E11,0.0224197293618384,0.00160140924013132,C10,0.0310627912136676,0,
2,E12,0.0256225478421011,0.00160140924013131,C10,0.0310627912136676,0,
2,F01,0.446793177996637,0.00480422772039396,D01,0.403816285777679,0.0193427954006686,D01
2,F02,0.469212907358476,0.00160140924013132,D01,0.403816285777679,0.0193427954006686,D01
2,F03,0.433981904075587,0.0152764705167258,D01,0.403816285777679,0.0193427954006686,D01
2,F04,0.413163583953879,0.00277372216761768,D01,0.403816285777679,0.0193427954006686,D01
